assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
1998432,191696,Allotoca goslinei,Extinct in the Wild,,2019,2018-03-07 00:00:00 UTC,3.1,English,"Given the fact, that Allotoca goslinei was the dominant fish (ca. 75% proportional abundance) at the last known location of the study by Helmus et al. (2009), and then decreased in numbers since about the year 2000, to a few individuals in 2004, and zero when the habitat was extensively sampled in 2005–2006, it can be inferred that the species has disappeared completely from the wild. With no known location and no known wild population, but several captive populations in Europe, Mexico and the United States, the Banded Allotoca is assessed Extinct in the Wild.","Here is the habitat description from Smith and Miller (1987), slightly modified by Köck in 2018: ""At the type locality, the Río Potrero Grande flows through a steep-walled, twisting canyon of high gradient that is well shaded by willows (Salix spp.) and the canyon walls. The species was taken only from a quiet pool of clear to murky water, that was about 23 m long and 3.2-3.8 m wide, up to 1.2 m deep at the steeply shelving south bank and with a substrate of sand, silt, rocks and boulders. Filamentous algae were abundant, and there were small patches of floating vascular plants. In the dry season the current was slight to nil. This was the terminal pool before the creek emerged from the canyon and dropped precipitously to the Río Ameca. Allotoca goslinei was found primarily in shallow water (15-26 cm) underneath floating plants (water hyacinth, algae, and a Nasturtium-like plant) along the gradually sloping north side of the pool. The largest series came from beneath a single patch of floating plants about 3 m long and extending no more than 1 m into the pool. The water temperature during three visits were 16.4-20 °C from mid-day to late afternoon, mid February to early March. Other fishes taken in the same pool were a Catostomid, Moxostoma mascotae (now: Moxostoma austrinum), a Goodeid, Allodontichthys n. sp. (now: Allodontichthys polylepis) and a Poeciliid, Poeciliopsis infans. Rana sp. was also captured, including tagpoles and adults."" Wischnath (1993) additionally mentioned Ilyodon furcidens being a co-inhabitant. Based on the diet of related species, the Banded Allotoca was most likely feeding on small arthropods in the wild (Domínguez-Domínguez et al. 2002, Doadrio and Domínguez-Domínguez 2004, Webb et al. 2004). Schindler reported to Hieronimus (Hieronimus 1995), that on his visit of the type location in 1988, the water looked very polluted and reminded him more on a sewer than on a pool. The water was turbid, with little visibility, and the fish were caught only incidentally, but all species mentioned by Smith and Miller (1987) were present. Following Hieronimus, the condition of the habitat might be caused by an extremely dry spring in 1988.","Allotoca goslinei was moderately common until the year 2000 at the type location in the Río Potrero Grande. About that year, non native and invasive Green Swordtails (Xiphophorus hellerii) occurred, which invaded the type locality between 2000 and 2004 and increased in abundance while Allotoca goslinei decreased in abundance. The Swordtail is thought to have displaced Allotoca goslinei through competition for prey (Arthington 1989), since the stream habitat quality did not noticeably change (Helmus et al. 2009 unpublished data). Both species likely competed for the same sort of prey (Arthington 1989).","Deduced from inconclusive surveys conducted by Helmus et al. in 2005 and 2006 (Helmus et al. 2009), this species is likely extinct in nature. This can be decided due to the fact that in 2000 Alloctoca goslinei was still the dominant fish at the type locality (ca. 75% proportional abundance), but in extensive samplings of the river five, six years later, no more specimens were found. Based on this, the Banded Allotoca is feared to be Extinct in the Wild (Lyons 2011). A few captive strains do exist in Europe, Mexico and the United States, but all of them are low in numbers and not easy to maintain.","","The Banded Allotoca was endemic to the Mexican federal state of Jalisco and historically only known from few collections in the headwaters of the Río Ameca, namely from the type location, the Río Grande (or Río, Arroyo, Potrero Grande about 10 km west of the town of Ameca), and from the Río Cuisillos (1 km east of the train station at Pacana near the Presa La Vega, where it coalesces with the Río Salado forming up the Río Ameca) (Smith and Miller 1987). From this distribution pattern, it can be inferred that it was more widespread in the headwaters of the Río Ameca drainage, but stayed either unnoticed or was very scarce. However, it was eliminated from the Río Ameca by the late 1990's, but remained moderately common in the Río Potrero Grande (Lyons 2011), until non-native swordtails (Xiphophorus hellerii) invaded the river after 2000. Being the dominant species in 2000, with about 75% proportional abundance, the numbers of Allotoca goslinei declined rapidly thereafter, and extensive samplings in 2005 and 2006 didn't show a single individual (Helmus et al. 2009). The last record dates back to 2004 (Lyons 2011).",The Banded Allotoca is not used for consumption and is not a target species for the ornamental fish trade.,Freshwater (=Inland waters),"The Banded Allotoca is included in the international ex-situ breeding project ""Allotoca-Mesa Central"" from the Austrian Association of Aquarists (ÖVVÖ) for all species of the genera Allotoca and Neoophorus (http://www.oevvoe.org/allotoca-mesa-central). Other conservation effort is a monitoring and ex-situ breeding project run by the Laboratorio de Biología Acuatica in Michoacan University, Morelia, MexicoNo other conservation efforts for this species are known. ",Neotropical,2004,false,false,Global
2594210,199495,Margatteoidea amoena,Extinct,,2012,2007-10-25 00:00:00 UTC,3.1,English,This species has not been recorded since 1905 despite thorough searches in 2006.,The island where the species has been recorded is dominated by coastal woodland and coconut plantation.,The entire range of the species is at sea level; any change will eliminate all habitat. It has not been recorded since 1905 and is probably extinct. A large fire in 2007 severely damaged remaining woodland areas.,"There is no information available on population size or trends. Despite thorough searches in 2006, the species is known only from five specimens collected in 1905.",Unknown,"The species is endemic to Seychelles, where it has been recorded only from Desroches Island.",This species is not utilized.,Terrestrial,No conservation actions are in place for this species.,Afrotropical,1905,false,false,Global
2706821,201484,Orthomorpha crinita,Extinct,,2014,2012-11-01 00:00:00 UTC,3.1,English,"This species is known from a single specimen from 1894 from Mahe island (precise locality not known). Since then several searches have been made in the most likely habitats over most of the island and no individuals have been found. This species is large enough that it is unlikely to have been overlooked in the searches and therefore, it is assessed as Extinct.",No details are known on the habitats and ecology of this species but it was probably a forest species found in leaf litter.,"It is likely that this species was threatened by habitat deterioration due to the effects of invasive plants, especially Cinnamomum verum, and climate change causing drying of higher, cloud associated habitats.","This species has not been located since 1894 despite subsequent searches and therefore, is assumed to be extinct.","",This species was endemic to the Seychelles island of Mahe where a single specimen was collected in 1894. The precise locality is unknown.,"",Terrestrial,No conservation actions were taken for this species.,Afrotropical,1894,false,false,Global
8286338,184524,Pseudamnicola desertorum,Extinct,,2010,2007-10-19 00:00:00 UTC,3.1,English,"The generic status of this species is uncertain due to lack of anatomical data. The taxonomy of the hydrobiids of Algeria has not been revised since 1864. However, the thermal springs from which this species is known is are no longer there, so it is considered Extinct.",This is a crenobiont of warm springs.,Pollution and disappearance of springs threaten this species.,No information available.,"","It is recorded from the thermal springs at Djenndel near Annaba (Algeria), Bourgignat 1862. That is the only time it is been seen, and these springs no longer exist.","",Freshwater (=Inland waters),No information available.,Palearctic,19th century,false,false,"Global, Northern Africa & Pan-Africa"
10304648,40091,Pachnodus velutinus,Extinct,,2009,2006-01-11 00:00:00 UTC,3.1,English,"Range contraction in this species has been recorded since 1972, following range expansion by Pachnodus niger which eventually led to hybridization. Hybrids exhibited a selective advantage in being tolerant of dry conditions; P. velutinus required constant humidity levels in excess of 90%. In 1994, no true P. velutinus could be located and since that date its range has been occupied exclusively by P. niger x velutinus hybrids.","This snail once inhabited high forests, requiring constant humidity levels in excess of 90%. By the early 1990s, it was restricted to the dampest area of moss forests, and by 1994 it had become extinct.","Being vulnerable to dessication, this species was historically threatened by habitat degradation and climatic changes. Hybridization with Pachnodus niger led to the extinction of this species in 1994.","","","Endemic to the Seychelles, this extinct snail was found only on Mahé island.","",Terrestrial,This snail was historically present in the Morne Seychellois National Park.,Afrotropical,1994,false,false,Global
10390353,41027,Graecoanatolica macedonica,Extinct,,2011,2009-11-27 00:00:00 UTC,3.1,English,"The species was first listed as Extinct in 2000. Population declines were first noted in the 1970s when lake levels were lowered. In 1988 a massive outflow event resulted in a catastrophic drop in lake level of 60 cm, isolating the zone were the species is normally found. This combined with interference of inflow streams, and hot, dry summers have led to extensive damage to the entire lake's littoral zone. Repeated visits to the area between 1992 and 2000 failed to locate the species leading to the conclusion that the species should be considered extinct. However some shells of this species were collected in 2009 (Fischer et al. 2009), so there are two possible conclusions a) these are subfossil shells washed out from sediment b) that it is possible that the species may have survived in a small groundwater source and that species is extant. As the species was not live collected, it is still considered Extinct, however if more dead shells continue to be found then the species should be considered as Critically Endangered (Possibly Extinct) and intensive surveys and rehabilitation programmes will be required. This species has also been assessed at the regional level:Europe: : Extinct (EX)EU 27: Extinct (EX) Mediterranean: Extinct (EX)","Graecoanatolica macedonica was a freshwater species. It was restricted to stony and sandy substrates in the littoral zone of Lake Dorjan, usually at depths of 0 to approximately 50 cm (Ryan and Griffiths 2001).","The species is thought to have become extinct as a result of habitat loss through water abstraction (Ryan and Griffiths 2001). Lake levels declined from maximum water depth of 10.4 m in the 1930s to 5.6 m in 1995, and water abstraction is still ongoing in the area as the lake's feeder streams and underlying aquifer continue to be used for agricultural purposes (Ryan and Griffiths 2001). Recently, shells have been found at the lake, suggesting that it is possible that the species may survive in a small pocket, or has modified it's habitat.","The population was noted to have suffered declines in the 1970s as the lakes water levels lowered from maximum depth of 10.4 m in the 1930s to 5.6 m in 1995. In 1987, densities were estimated at 2,500 individuals per m², however, in 1988 the lake's water level decreased by a further 60 cm as a result of a single outflow event (Ryan and Griffiths 2001). The species was not recorded in the area between 1992 and 2001 (Griffiths pers. comm. 2001). The species was thought to be extinct as a result of habitat loss through water abstraction (Ryan and Griffiths 2001). Water abstraction is still ongoing in the area as the lake's feeder streams and underlying aquifer continue to be used for agricultural purposes. Recently (2009) some fresh looking shells have been found at the lake, suggesting that it is possible that the species may survive in a small pocket, or has modified its habitat. Further survey work is required in order to identify whether these shells are 'subfossil' or whether the species survives somewhere at the lake.","","Graecoanatolica macedonica was endemic to Lake Dorjan, on the border of Macedonia and Greece. It was first described from shells taken from a site on the western shore of the lake, on the border of Macedonia and Greece (Ryan and Griffiths 2001).",This species is currently assessed as Extinct and is therefore not utilized. It was also not known to be utilized before its extinction.,Freshwater (=Inland waters),"Further survey work is required in order to identify whether the recently collected shells are 'subfossil' or whether the species survives somewhere at the lake. As water quality needs to be good for these small freshwater gastropods, the use of fertilizer, pesticide and herbicide use for agricultural purposes needs to be drastically reduced.",Palearctic,1992,false,false,"Global, Europe & Mediterranean"
12468486,61365,Tristramella magdelainae,Extinct,,2006,2006-01-31 00:00:00 UTC,3.1,English,The species was described from collections made in the 1950s. The species has not been reported since. Presumed Extinct.,Not known.,"Drought, pollution and water extraction may have resulted in destroying available habitat for this species.","This fish is likely to now be extinct (M. Goren, pers. comm).","",Known only from Damascus.,"",Freshwater (=Inland waters),None known to be in place.,Palearctic,1950s,false,false,Global
15361621,5438,Cottus echinatus,Extinct,,2013,2011-11-09 00:00:00 UTC,3.1,English,It is listed as Extinct because the species has not been observed since the 1920s despite adequate surveys to find it.,Its habitat included rocky nearshore areas of Utah Lake (Page and Burr 2011).,"Decreased water quality associated with agriculture, introduced fishes, and drought-associated low lake levels in 1930s may have led to extinction (Lee et al. 1980, Miller et al. 1989).",None remaining.,"","This species is extinct; historically, it was found only in Utah Lake, Utah (Page and Burr 2011).",This species was not utilized.,Freshwater (=Inland waters),"This species is extinct. No protection or major management, monitoring, or research actions are needed..",Nearctic,,false,false,Global
21424454,22147,Trigonoscuta rossi,Extinct,,2014,2014-01-10 00:00:00 UTC,3.1,English,This species is known only from one very small area. It has not been located since 1975 and is assessed as Extinct. The cause of extinction is not known.,It was found in coastal sand dune habitats.,"The species was known from only one small area but has not been recorded since 1975 and is suspected to be extinct. In the Fort Ross area, the sand dunes are likely to be degraded by rising sea levels.",No data are available on the population. It was last recorded in 1975.,"","This species was known only from the area around Fort Ross, California.","",Terrestrial,"The only recorded site for the species is in the Fort Ross State Historic Park, but the species is assumed to be extinct.",Nearctic,1975,false,false,Global
22186735,9003,Geocapromys thoracatus,Extinct,,2018,2018-01-26 00:00:00 UTC,3.1,English,This species is listed as Extinct. It has not been found since the early 1950s.,This species occurred in scrub thicket on coral atoll.,"This hutia was driven to extinction through predation by introduced cats, which were released onto the islands prior to 1960. Local people report a very strong hurricane in 1955 which may have added to the population decline.","This species is now Extinct, although formally it appeared to have been plentiful.","","This species was endemic to Little Swan Island, Honduras.","",Terrestrial,This rodent is now Extinct.,Neotropical,1950s,false,false,Global
