assessmentId,internalTaxonId,scientificName,code,name,note
118976576,54583,Anaxyrus baxteri,2.1,Site/area management,
118976576,54583,Anaxyrus baxteri,4.3,Awareness & communications,
118976576,54583,Anaxyrus baxteri,1.2,Resource & habitat protection,
118976576,54583,Anaxyrus baxteri,1.1,Site/area protection,
118976576,54583,Anaxyrus baxteri,3.2,Species recovery,
118976576,54583,Anaxyrus baxteri,3.4.1,Captive breeding/artificial propagation,
118976576,54583,Anaxyrus baxteri,3.3.1,Reintroduction,
184207893,44080,Brighamia insignis,1.1,Site/area protection,""
184207893,44080,Brighamia insignis,3.4.2,Genome resource bank,""
184207893,44080,Brighamia insignis,2.2,Invasive/problematic species control,""
184207893,44080,Brighamia insignis,4.1,Formal education,""
184207893,44080,Brighamia insignis,3.4.1,Captive breeding/artificial propagation,""
184207893,44080,Brighamia insignis,1.2,Resource & habitat protection,""
184207893,44080,Brighamia insignis,2.1,Site/area management,""
184207893,44080,Brighamia insignis,4.3,Awareness & communications,""
184207893,44080,Brighamia insignis,3.3.2,Benign introduction,""
184207893,44080,Brighamia insignis,2.3,Habitat & natural process restoration,""
184207893,44080,Brighamia insignis,3.1.2,Trade management,""
184207893,44080,Brighamia insignis,3.3.1,Reintroduction,""
10390353,41027,Graecoanatolica macedonica,2.1,Site/area management,
2594210,199495,Margatteoidea amoena,1.1,Site/area protection,
99166654,97161884,Neocnemis occidentalis,2.3,Habitat & natural process restoration,""
99166654,97161884,Neocnemis occidentalis,2.2,Invasive/problematic species control,""
99166654,97161884,Neocnemis occidentalis,2.1,Site/area management,""
99166654,97161884,Neocnemis occidentalis,5.4.3,Sub-national level,""
99166654,97161884,Neocnemis occidentalis,4.3,Awareness & communications,""
99166654,97161884,Neocnemis occidentalis,4.1,Formal education,""
96986338,96986314,Bradycellus chavesi,2.2,Invasive/problematic species control,""
96986338,96986314,Bradycellus chavesi,4.3,Awareness & communications,""
96986338,96986314,Bradycellus chavesi,1.1,Site/area protection,""
137328770,19948,Scardinius racovitzai,3.3.1,Reintroduction,""
137328770,19948,Scardinius racovitzai,2.1,Site/area management,""
137328770,19948,Scardinius racovitzai,2.3,Habitat & natural process restoration,""
217783334,13152363,Chioninia coctei,4.3,Awareness & communications,""
126613386,126612397,Csapodya splendens,3.4.1,Captive breeding/artificial propagation,""
126613386,126612397,Csapodya splendens,3.4.2,Genome resource bank,""
164117292,164111324,Dombeya rodriguesiana,3.2,Species recovery,""
164117292,164111324,Dombeya rodriguesiana,1.1,Site/area protection,""
164117292,164111324,Dombeya rodriguesiana,4.3,Awareness & communications,""
164117292,164111324,Dombeya rodriguesiana,5.1.3,Sub-national level,""
164117292,164111324,Dombeya rodriguesiana,1.2,Resource & habitat protection,""
164117292,164111324,Dombeya rodriguesiana,5.3,Private sector standards & codes,""
164117292,164111324,Dombeya rodriguesiana,2.1,Site/area management,""
164117292,164111324,Dombeya rodriguesiana,2.2,Invasive/problematic species control,""
164117292,164111324,Dombeya rodriguesiana,2.3,Habitat & natural process restoration,""
1998432,191696,Allotoca goslinei,2.2,Invasive/problematic species control,""
1998432,191696,Allotoca goslinei,2.1,Site/area management,""
1998432,191696,Allotoca goslinei,4.3,Awareness & communications,""
1998432,191696,Allotoca goslinei,1.1,Site/area protection,""
1998432,191696,Allotoca goslinei,3.4.1,Captive breeding/artificial propagation,""
1998432,191696,Allotoca goslinei,3.3.1,Reintroduction,""
47608529,272625865,Clianthus puniceus,3.2,Species recovery,""
47608529,272625865,Clianthus puniceus,3.4.1,Captive breeding/artificial propagation,""
47608529,272625865,Clianthus puniceus,3.4.2,Genome resource bank,""
47608529,272625865,Clianthus puniceus,2.2,Invasive/problematic species control,""
