assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
118976576,54583,Anaxyrus baxteri,US,United States,Extinct Post-1500,Native,"[""Resident""]",
216881879,216881863,Govenia floridana,US,United States,Extinct Post-1500,Native,"[""Resident""]",
184207893,44080,Brighamia insignis,US,United States,Extinct Post-1500,Native,,
229310288,22692447,Hypotaenidia wakensis,UM,United States Minor Outlying Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
229347436,22692672,Zapornia palmeri,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
235578991,22708835,Turdus ravidus,KY,Cayman Islands,Extinct Post-1500,Native,"[""Resident""]",Unknown
231051969,103889155,Zosterops conspicillatus,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",Unknown
238869019,22685156,Psephotellus pulcherrimus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",Unknown
8286338,184524,Pseudamnicola desertorum,DZ,Algeria,Extinct Post-1500,Native,,
10304648,40091,Pachnodus velutinus,SC,Seychelles,Extinct Post-1500,Native,"[""Resident""]",
15361621,5438,Cottus echinatus,US,United States,Extinct Post-1500,Native,"[""Resident""]",
10390353,41027,Graecoanatolica macedonica,GR,Greece,Extinct Post-1500,Native,"[""Resident""]",
10390353,41027,Graecoanatolica macedonica,MK,North Macedonia,Extinct Post-1500,Native,"[""Resident""]",
2594210,199495,Margatteoidea amoena,SC,Seychelles,Extinct Post-1500,Native,,
2706821,201484,Orthomorpha crinita,SC,Seychelles,Possibly Extinct,Native,"[""Resident""]",
21424454,22147,Trigonoscuta rossi,US,United States,Extinct Post-1500,Native,"[""Resident""]",
99166654,97161884,Neocnemis occidentalis,PT,Portugal,Extinct Post-1500,Native,"[""Resident""]",
115496789,78777637,Cyanea sessilifolia,US,United States,Extinct Post-1500,Native,"[""Resident""]",
12468486,61365,Tristramella magdelainae,SY,Syrian Arab Republic,Extinct Post-1500,Native,,
83790763,44094,Cyanea dolichopoda,US,United States,Extinct Post-1500,Native,,
50188573,10168,Hippotragus leucophaeus,ZA,South Africa,Extinct Post-1500,Native,"[""Resident""]",Yes
79862750,34039,Delissea niihauensis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,UY,Uruguay,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,CL,Chile,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
82337485,82337482,Dusicyon avus,AR,Argentina,Extinct Post-1500,Native,"[""Resident""]",
96986338,96986314,Bradycellus chavesi,PT,Portugal,Extinct Post-1500,Native,"[""Resident""]",
137328770,19948,Scardinius racovitzai,RO,Romania,Extinct Post-1500,Native,"[""Resident""]",Yes
209512755,103823664,Hemignathus affinis,US,United States,Extinct Post-1500,Native,"[""Resident""]",
243955451,103829706,Himatione fraithii,US,United States,Extinct Post-1500,Native,"[""Resident""]",Yes
244842689,103823250,Akialoa stejnegeri,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
245724773,22708559,Myadestes myadestinus,US,United States,Extinct Post-1500,Native,"[""Resident""]",Unknown
248950875,22720734,Psittirostra psittacea,US,United States,Extinct Post-1500,Native,"[""Resident""]",Yes
253646057,212059494,Eugenia serrasuela,PR,Puerto Rico,Extinct Post-1500,Native,"[""Resident""]",
217783334,13152363,Chioninia coctei,CV,Cabo Verde,Extinct Post-1500,Native,"[""Resident""]",
54357699,3172,Incilius periglenes,CR,Costa Rica,Extinct Post-1500,Native,"[""Resident""]",
54358350,54549,Atelopus senex,CR,Costa Rica,Extinct Post-1500,Native,"[""Resident""]",
126613386,126612397,Csapodya splendens,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
126613426,126612753,Faramea chiapensis,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
164117292,164111324,Dombeya rodriguesiana,MU,Mauritius,Extinct Post-1500,Native,,
140416594,140416589,Eriocaulon inundatum,SN,Senegal,Extinct Post-1500,Native,"[""Resident""]",
54365740,56413,Craugastor anciano,HN,Honduras,Extinct Post-1500,Native,"[""Resident""]",
54369525,56810,Craugastor omoaensis,HN,Honduras,Extinct Post-1500,Native,"[""Resident""]",
1998432,191696,Allotoca goslinei,MX,Mexico,Extinct Post-1500,Native,"[""Resident""]",
22186735,9003,Geocapromys thoracatus,HN,Honduras,Extinct Post-1500,Native,,
47608529,272625865,Clianthus puniceus,NZ,New Zealand,Extinct Post-1500,Native,"[""Resident""]",
254623401,13132,Melomys rubicola,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
