assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
118976576,54583,Anaxyrus baxteri,8.1.2,Named species,1.2,Ecosystem degradation,,Unspecified Tamarix,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,8.2.2,Named species,2.1,Species mortality,,Unspecified MUSTELIDAE,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,11.2,Droughts,1.2,Ecosystem degradation,,,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
216881879,216881863,Govenia floridana,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,Majority (50-90%),Unknown,,"Past, Unlikely to Return",
216881879,216881863,Govenia floridana,5.2.1,Intentional use (species is the target),2.1|2.2,Species mortality|Species disturbance,,,No,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
216881879,216881863,Govenia floridana,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
184207893,44080,Brighamia insignis,8.2.1,Unspecified species,2.3.3,Loss of mutualism,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,11.5,Other impacts,1.2,Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.3.2,Ecosystem degradation|Competition,,Lantana camara,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.3.2,Ecosystem degradation|Competition,,Syzygium cumini,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
184207893,44080,Brighamia insignis,10.3,Avalanches/landslides,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.1,Unspecified species,1.2|2.1|2.3.2,Ecosystem degradation|Species mortality|Competition,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.1,Ecosystem degradation|Species mortality,Feral,Capra hircus,,Whole (>90%),Rapid Declines,,Ongoing,
