assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
54357815,19148,Lithobates fisheri,US,United States,Extinct Post-1500,Native,"[""Resident""]",
78430385,19476,Rheobatrachus vitellinus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
78430533,19475,Rheobatrachus silus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
78434814,12149,Litoria nyakalensis,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
78447380,21529,Taudactylus acutirostris,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
103137318,103135035,Partula navigatoria,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
103143264,103143220,Partula garrettii,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
118976576,54583,Anaxyrus baxteri,US,United States,Extinct Post-1500,Native,"[""Resident""]",
119135241,16275,Partula hebe,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135366,16277,Partula mirabilis,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135460,16278,Partula mooreana,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135563,16320,Partula nodosa,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119135650,16281,Partula suturalis,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
119138158,16293,Partula rosea,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
208117613,22728709,Riccordia elegans,BS,Bahamas,Extinct Post-1500,Native,"[""Resident""]",Unknown
208117613,22728709,Riccordia elegans,JM,Jamaica,Extinct Post-1500,Native,"[""Resident""]",Unknown
221483595,16290,Partula labrusca,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221483968,16298,Partula atilis,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484245,16306,Partula crassilabris,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484325,16308,Partula dolichostoma,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484596,16315,Partula leptochila,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
221484682,16317,Partula levistriata,PF,French Polynesia,Extinct Post-1500,Native,"[""Resident""]",
