internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
13013,Megupsilon aporus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Megupsilon,aporus,,,,,"Miller &amp; Walters, 1972",""
14881,Notropis amecae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,amecae,,,,,"Chernoff &amp; Miller, 1986",""
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,aulidion,,,,,"Chernoff &amp; Miller, 1986",""
16280,Partula salifana,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PARTULIDAE,Partula,salifana,,,,,"Crampton, 1925",""
191696,Allotoca goslinei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Allotoca,goslinei,,,,,"Smith &amp; Miller, 1987","The Holotype of this species was collected together with Paratopotypes by Robert Miller and others in February 1976 from the Río (Potrero) Grande, about 9.6km W of the town of Ameca. Several Paratypes go back to collections from the type location in 1957 and 1971, one single male to a collection of R. Vrijenhoek and M. Douglas from a bridge over the Río Ameca (precisely: Río Cuisillos), 1km E of the estación Pacana, SE of the Presa La Vega, in 1981. No subpopulations are distinguished."
196286,Thomasettia seychellana,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Thomasettia,seychellana,,,,,"Hirst, 1911",""
196288,Pleorotus braueri,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Pleorotus,braueri,,,,,"Simon, 1898",""
196290,Stipax triangulifer,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SPARASSIDAE,Stipax,triangulifer,,,,,"Simon, 1898",""
199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,wilderi,,,,,Merr.,""
201472,Eucarlia alluaudi,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,PACHYBOLIDAE,Eucarlia,alluaudi,,,,,"(Brolemann, 1896)",""
201484,Orthomorpha crinita,ANIMALIA,ARTHROPODA,DIPLOPODA,POLYDESMIDA,PARADOXOSOMATIDAE,Orthomorpha,crinita,,,,,"Attems, 1900",""
20285,Skiffia francesae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Skiffia,francesae,,,,,"Kingston, 1978","The types Kingston used for her description of Skiffia francesae (1978) were collected by Miller and Fitzsimons in 1970 from the Río Teuchitlán E of Teuchitlán. Two decades later, in 2006, a stock of Skiffia was found in the Molino pond near Cuyacapán, Laguna de Sayula drainage. Fish from this locality are regarded to belong to the Golden Skiffia. According to these two drainages, two subpopulations are recognized: The Upper Río Ameca subpopulation (type subpopulation) and the Laguna de Sayula subpopulation. Both are regarded Extinct in the Wild."
21120,Stypodon signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Stypodon,signifer,,,,,"Garman, 1881",""
43920,Dryopteris ascensionis,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,DRYOPTERIDACEAE,Dryopteris,ascensionis,,,,,(Hook.) Kuntze,""
43923,Oldenlandia adscensionis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Oldenlandia,adscensionis,,,,,(DC.) Cronk,""
43927,Sporobolus durus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Sporobolus,durus,,,,,Brongn.,""
6144,Cyprinodon alvarezi,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Cyprinodon,alvarezi,,,,,"Miller, 1976",""
9023,Chelonoidis niger,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Chelonoidis,niger,,,,,"(Quoy &amp; Gaimard, 1824)","The previous Red List assessments for Galápagos tortoises treated the various allopatric island populations as subspecies of Chelonoidis nigra (now named Chelonoidis niger), as did several authors (Pritchard 1996, Caccone et al. 1999, Beheregaray et al. 2003, Fritz and Havas 2007,TTWG 2007, Rhodin et al. 2008). However, other authors have considered them as full species based on morphology (Bour 1980, Fritts 1983, Ernst and Barbour 1989) and the more recent consensus among researchers (Caccone et al. 2002; Russello et al. 2005, 2007; Poulakakis et al. 2008, 2012, 2015; Chiari et al. 2009) is to treat most as full species based on congruent patterns of mitochondrial and nuclear variation. This elevated species-level taxonomy has been largely accepted by TTWG (2009, 2014) and TEWG (2015) for most, but not all, phylogenetic lineages of Galápagos tortoises. This Red List assessment therefore now treats C. niger as a full species, rather than retaining its previous subspecies ranking from earlier Red List assessments. This species from Floreana has also been referred to in some recent literature as C. elephantopus, but that name is a nomen dubium (TTWG 2009) and should not be used for the this species. The spelling of the specific name was recently changed from nigra to niger as a result of the determination that the gender of the generic name Chelonoidis is actually masculine rather than feminine (Olson and David 2014)."
15867,Pacifastacus nigrescens,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ASTACIDAE,Pacifastacus,nigrescens,,,,,"(Stimpson, 1857)",""
173001,Cyclura onchiopsis,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE,Cyclura,onchiopsis,,,,,"Cope, 1885","Cope (1885) used both Cyclura onchiopsis and Cyclura nigerrima; but only the former was diagnosed. Consequently, the latter must was a nomen nudum. Nearly a year later, Cope (1885 [1886]) provided a diagnosis for C. nigerrima. Barbour (1937) relegated C. nigerrima to a subspecies of C. cornuta. Schwartz and Carey (1977) formally placed C. nigerrima in the synonymy of C. onchiopsis.Originally described as a full species, the Navassa Rhinoceros Iguana was relegated to subspecific status within the Rhinoceros Iguanas (Cyclura cornuta) first by Cope (1885 [1886]), without presenting any evidence other than superficial physical similarity. That status was contradicted by Barbour and Noble (1916), although Barbour (1937) later reverted to the subspecific designation. Carey (1977) recognized Cyclura onchiopsis as a full species, but most subsequent authorities followed Schwartz and Thomas (1975) in recognizing it as a subspecies. Powell (1999) re-elevated the taxon to full species status."
