assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
511283,13013,Megupsilon aporus,Extinct,,2019,2018-09-12 00:00:00 UTC,3.1,English,"Megupsilon aporus was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species is now considered Extinct (EX) as a result of total habitat loss, and has not been recorded at this locality since 1994. There are no known captive populations. The last remaining captive population was lost in 2012.","Historical habitat included clear springs and spring-fed ditches in the presence of dense aquatic macrophytes over clay, mud, firm limestone and sandy substrates (Miller et al. 2005). Water temperature fluctuated annually from 16.5-23 oC. Potosi springs was at 1880 m elevation (Miller et al. 2005).","Major threats that led to the extirpation of M. aporus in the wild include a near total loss of habitat resulting from groundwater extraction, and the impacts of predatory and competitive introduced species (Contreras-Balderas and Lozano-Vilano 1996, Miller et al. 2005).","Megupsilon aporus has not been recorded in the wild since 1994 (Burkhead 2012, Lozano-Vilano and Maza-Benignos 2017, Valdés González et al. 2018). Surveys have been conducted in nearby springs, but it has not been recorded.","","Megupsilon aporus was once restricted to the Potosi Spring northwest of Galeana in Nuevo Leon, Mexico. This species was considered Extinct in the Wild (EW) as a result of total habitat loss, and has not been recorded at this locality since 1994 (Valdés González et al. 2018). However, there are no known captive populations, as the last remaining captive population was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, A. Eschelle pers. comm. 2018, C. Martin pers. comm. 2018).",There is no information about the past use and trade of this species.,Freshwater (=Inland waters),"The last remaining captive population of M. aporus was lost in 2012 (Lozano-Vilano and Maza-Benignos 2017, Valdés González et al. 2018).  Genetic tissue has been preserved for this species (A. Valdes pers. comm. 2018).",Nearctic,1994,false,false,Global
546008,14556,Neoplanorbis tantillus,Extinct,,2012,2012-03-12 00:00:00 UTC,3.1,English,"Neoplanorbis tantillus has been assessed as Extinct. It is believed to have been extinct since impoundment of the Coosa River, Alabama, to which it was formerly endemic (Mirarchi 2004) as it has not been found during any surveys.",This species formerly occurred in the Coosa River in shoal habitats (Mirarchi 2004).,"Past impoundment of its habitat was the main threat to this species and has ultimately led to its extinction. The Coosa River was impounded several times, first in 1914 (Lay Lake) and most recently in 1967 (Lake Bouldin) (J. Cordeiro pers. comm. 2012).","Burch (1989) cites the Coosa River, Alabama, as the distribution of this species. It is now considered to be extinct following surveys of formerly known locations.","","This species was formerly endemic to Coosa River, Alabama, but has not been reported despite surveys since the river was impounded (Mirarchi 2004).",This species was not utilized.,Freshwater (=Inland waters),This species has been assigned a NatureServe Global Heritage Status Rank of GX - Presumed Extinct (NatureServe 2009). There are no species-specific conservation measures in place.,Nearctic,,false,false,Global
546490,14882,Notropis aulidion,Extinct,,2019,2018-12-06 00:00:00 UTC,3.1,English,"Notropis aulidion was historically known only from a long, narrow reservoir of the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico. Despite extensive sampling attempts, this species was last recorded in 1961 and is now widely regarded as Extinct.","The historical habitat of this species was restricted to a single narrow reservoir at an elevation of 1865 m Asl, with minimal vegetation, a muddy substrate, low velocity flow and a water depth of 1 m (Miller et al. 1989, 2005).","The extirpation of this species likely resulted from reduced streamflow, municipal and industrial pollution, and the effects of introduced nonnative species (e.g. Micropterus salmoides) following marked increases in the population and development of Durango City (Miller et al. 1989).",The historical population size of this species is unknown. It has not been reported since 1961 (Miller et al. 1989). Many surveys in the species' historical range and nearby areas have not reported the species.,"","Notropis aulidion was historically restricted to the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico (Chernoff and Miller 1986, Miller et al. 1989, Miller et al. 2005). It was known from only two collections in a small reservoir (Miller et al. 2005). It was last recorded in 1961 despite multiple subsequent sampling attempts, and is now widely regarded as extinct (Miller et al. 2005, Jelks et al. 2008, Bennett and Conway 2010, Burkhead 2012).",The historical use and trade of this species is unknown.,Freshwater (=Inland waters),There are no species-specific conservation measures in place for N. aulidion as it is considered extinct.,Nearctic,1961,false,false,Global
1496235,177724,Stagnicola pilsbryi,Extinct,,2012,2012-03-05 00:00:00 UTC,3.1,English,"Stagnicola pilsbryi has been assessed as Extinct. Live specimens of the species have not been collected since 1968, despite a targeted survey being carried out in 1990. Clarke (1991) believes that the species became extinct due to habitat decline due to abstraction of water and diversion of the spring that it formerly inhabited.",This species was found in freshwater springs (NatureServe 2009).,This species is considered to be extinct due to slash and burn activities in the 1970s and spring diversion and drainage (Clarke 1991). This species was only known from one spring and is unlikely to be found in any others.,NatureServe (2009) state that this species is extinct and that it was only known from the Utah type locality. (This is based on the assumption that Stagnicola pilsbryi is the same species as Lymnaea pilsbryi).,"","This species is only known from the type locality at Fish Spring, Juab County, Utah (Oliver and Bosworth 1999). No live specimens of the species have been collected since 1968 (J. Cordeiro pers. comm. 2012). Russell (1971) found shells in Fish Springs only, but he reported that some of the shells appeared to have been relatively fresh. Live individuals or fresh snails have not been found since then including a targeted survey by Clarke (1991) in 1990. Therefore, it is believed that the species is extinct and only known from the Utah type locality (J. Cordeiro pers. comm. 2012). Clarke (1991) believes this species is extinct due to slash and burn activities in 1970 and the diversion and drainage of the spring.",This species was not utilised.,Freshwater (=Inland waters),This species has been given a NatureServe Global Heritage Status Rank of GX - Extinct (NatureServe 2009).,Nearctic,1968,false,false,Global
1584696,179630,Kalanchoe fadeniorum,Extinct in the Wild,,2022,2009-05-13 00:00:00 UTC,3.1,English,"This species was known only from Kenya. It was known from one locality, which has been extensively surveyed (Q. Luke pers. comm.). The species might still occur in similar habitat elsewhere in the area, but all sites investigated so far the species has not been found. As a result, the wild population of the species is considered to have been lost. However, the species is found in five ex situ collections and it is therefore here assessed as Extinct in the Wild.","This species is a succulent herb, probably perennial, and grows in semi-evergreen thickets on sandy soil.",The wild population of this species has been lost due to cultivation at its known locality.,This species is considered to be lost from the wild.,"","This species was known only from Kenya. Its extent of occurrence (EOO) could not be calculated as it was known from only one locality. Therefore, it had an area of occupancy (AOO) of 4 km2. The species is now thought to have been lost from the wild.",There is no information about use or trade of this species.,Terrestrial,"Although the wild population has been lost, this species is known from five ex situ collections (BGCI 2018).",Afrotropical,1977,false,false,Global
1970358,191116,Atherinella callida,Extinct,,2019,2018-02-23 00:00:00 UTC,3.1,English,"Atherinella callida was a narrow endemic freshwater fish species known only from a single collection taken at Refugio, Veracruz, Mexico just west-north-west of Acatlan (Eschmeyer 1998, Chernoff 1986). The species has not been reported from the wild since 1957 (Burkhead 2012). Over the last fifty years there have been several comprehensive surveys but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). A continuing decline of the species' habitat quality has been reported as a result of water pollution from urban and industrial discharges and agricultural run-off, increased sedimentation, dewatering, and anthropogenic modifications to natural channels and flow regimes due to the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999,  Jelks, et al. 2008, Garrido et al. 2010). Based on these observations and the survey effort, the species is assessed as Extinct.","Very little is known about this freshwater riverine species, other than inhabiting rocky-bottomed waters, with a maximum known size of 55 mm (SL) (Miller 2005).","The specific threats which caused and related to the extinction of Atherinella callida are thought to be a direct result of habitat loss and degradation, including perturbations caused by factors such as sedimentation, water pollution from urban and industrial discharges and agricultural run-off, dewatering, and anthropogenic modifications to natural channels and flow regimes, as a result of the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999, Jelks et al. 2008, Garrido et al. 2010).",This species is thought to be extinct.,"","Atherinella callida is a narrow endemic known only from a single collection taken at Refugio, Veracruz, Mexico just west north west of Acatlan (Eschmeyer 1998 Chernoff, 1986). The streams around Refugio drain into the Rio Tonto, a tributary to the Rio Papaloapan. There have been several comprehensive surveys over the last fifty years but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). The species has not been reported from the wild since 1957, which is considered the estimated year of extinction (Burkhead 2012).",Atherinella callida is believed to be extinct.,Freshwater (=Inland waters),Atherinella callida is believed to be extinct.,Neotropical,1957,false,false,Global
1998432,191696,Allotoca goslinei,Extinct in the Wild,,2019,2018-03-07 00:00:00 UTC,3.1,English,"Given the fact, that Allotoca goslinei was the dominant fish (ca. 75% proportional abundance) at the last known location of the study by Helmus et al. (2009), and then decreased in numbers since about the year 2000, to a few individuals in 2004, and zero when the habitat was extensively sampled in 2005–2006, it can be inferred that the species has disappeared completely from the wild. With no known location and no known wild population, but several captive populations in Europe, Mexico and the United States, the Banded Allotoca is assessed Extinct in the Wild.","Here is the habitat description from Smith and Miller (1987), slightly modified by Köck in 2018: ""At the type locality, the Río Potrero Grande flows through a steep-walled, twisting canyon of high gradient that is well shaded by willows (Salix spp.) and the canyon walls. The species was taken only from a quiet pool of clear to murky water, that was about 23 m long and 3.2-3.8 m wide, up to 1.2 m deep at the steeply shelving south bank and with a substrate of sand, silt, rocks and boulders. Filamentous algae were abundant, and there were small patches of floating vascular plants. In the dry season the current was slight to nil. This was the terminal pool before the creek emerged from the canyon and dropped precipitously to the Río Ameca. Allotoca goslinei was found primarily in shallow water (15-26 cm) underneath floating plants (water hyacinth, algae, and a Nasturtium-like plant) along the gradually sloping north side of the pool. The largest series came from beneath a single patch of floating plants about 3 m long and extending no more than 1 m into the pool. The water temperature during three visits were 16.4-20 °C from mid-day to late afternoon, mid February to early March. Other fishes taken in the same pool were a Catostomid, Moxostoma mascotae (now: Moxostoma austrinum), a Goodeid, Allodontichthys n. sp. (now: Allodontichthys polylepis) and a Poeciliid, Poeciliopsis infans. Rana sp. was also captured, including tagpoles and adults."" Wischnath (1993) additionally mentioned Ilyodon furcidens being a co-inhabitant. Based on the diet of related species, the Banded Allotoca was most likely feeding on small arthropods in the wild (Domínguez-Domínguez et al. 2002, Doadrio and Domínguez-Domínguez 2004, Webb et al. 2004). Schindler reported to Hieronimus (Hieronimus 1995), that on his visit of the type location in 1988, the water looked very polluted and reminded him more on a sewer than on a pool. The water was turbid, with little visibility, and the fish were caught only incidentally, but all species mentioned by Smith and Miller (1987) were present. Following Hieronimus, the condition of the habitat might be caused by an extremely dry spring in 1988.","Allotoca goslinei was moderately common until the year 2000 at the type location in the Río Potrero Grande. About that year, non native and invasive Green Swordtails (Xiphophorus hellerii) occurred, which invaded the type locality between 2000 and 2004 and increased in abundance while Allotoca goslinei decreased in abundance. The Swordtail is thought to have displaced Allotoca goslinei through competition for prey (Arthington 1989), since the stream habitat quality did not noticeably change (Helmus et al. 2009 unpublished data). Both species likely competed for the same sort of prey (Arthington 1989).","Deduced from inconclusive surveys conducted by Helmus et al. in 2005 and 2006 (Helmus et al. 2009), this species is likely extinct in nature. This can be decided due to the fact that in 2000 Alloctoca goslinei was still the dominant fish at the type locality (ca. 75% proportional abundance), but in extensive samplings of the river five, six years later, no more specimens were found. Based on this, the Banded Allotoca is feared to be Extinct in the Wild (Lyons 2011). A few captive strains do exist in Europe, Mexico and the United States, but all of them are low in numbers and not easy to maintain.","","The Banded Allotoca was endemic to the Mexican federal state of Jalisco and historically only known from few collections in the headwaters of the Río Ameca, namely from the type location, the Río Grande (or Río, Arroyo, Potrero Grande about 10 km west of the town of Ameca), and from the Río Cuisillos (1 km east of the train station at Pacana near the Presa La Vega, where it coalesces with the Río Salado forming up the Río Ameca) (Smith and Miller 1987). From this distribution pattern, it can be inferred that it was more widespread in the headwaters of the Río Ameca drainage, but stayed either unnoticed or was very scarce. However, it was eliminated from the Río Ameca by the late 1990's, but remained moderately common in the Río Potrero Grande (Lyons 2011), until non-native swordtails (Xiphophorus hellerii) invaded the river after 2000. Being the dominant species in 2000, with about 75% proportional abundance, the numbers of Allotoca goslinei declined rapidly thereafter, and extensive samplings in 2005 and 2006 didn't show a single individual (Helmus et al. 2009). The last record dates back to 2004 (Lyons 2011).",The Banded Allotoca is not used for consumption and is not a target species for the ornamental fish trade.,Freshwater (=Inland waters),"The Banded Allotoca is included in the international ex-situ breeding project ""Allotoca-Mesa Central"" from the Austrian Association of Aquarists (ÖVVÖ) for all species of the genera Allotoca and Neoophorus (http://www.oevvoe.org/allotoca-mesa-central). Other conservation effort is a monitoring and ex-situ breeding project run by the Laboratorio de Biología Acuatica in Michoacan University, Morelia, MexicoNo other conservation efforts for this species are known. ",Neotropical,2004,false,false,Global
2381395,195373,Acalypha dikuluwensis,Extinct,,2012,2009-01-15 00:00:00 UTC,3.1,English,"Acalypha dikuluwensis was strictly endemic to copper-rich soil (i.e., it is an absolute metallophyte) in Katanga, Democratic Republic of Congo. Its habitat was restricted to steppic savanna in copper outcrops, which was destroyed by surface mining activities. Despite intensive fieldwork in the entire copperbelt region, no individuals were found after 1959. Based on these observations, this species is listed as presumed Extinct.","This plant was strictly endemic to copper-rich soil (i.e., it was an absolute metallophyte). Its natural habitat was steppe savanna, where it was found growing in copper outcrops. This habitat, which is naturally enriched with copper, is of rare occurrence. In the Katangan Copper Belt area, mineralised rocks appear as rounded hills, typically a few tenths of meters above the level of the surrounding non-mineralised areas, and most are typically a few tenths of hectares in area, rarely exceeding 1 km² (Faucon et al. 2010). The distance between nearby hills varies from less than a few hundred meters to more than 20 km (Faucon et al. 2010).","This species' extinction was caused by habitat destruction as a result of mining activities, particularly by extraction surface mining.",This species is now believed to be Extinct.,"","This species was endemic to the Katangan Copperbelt area in the Democratic Republic of the Congo. It was known from only one location (Dikuluwe, 10°43'312 25°22'833) with a very restricted range (extent of occurrence was estimated to be 1 km², and area of occupancy was estimated as 0.1 km²). It is now thought to be Extinct.","",Terrestrial,This species was not protected by any national legislation. It is now considered Extinct.,Afrotropical,1959,false,false,Global
2381622,195376,Basananthe cupricola,Extinct,,2012,2009-01-15 00:00:00 UTC,3.1,English,"Basananthe cupricola was strictly endemic to copper-rich soil (i.e., it is an absolute metallophyte) in Katanga, Democratic Republic of Congo, where it was known from only one location. Its habitat was restricted to steppic savannah in copper outcrops and it was destroyed by surface mining activities. Despite intensive fieldwork in the entire copperbelt region, no individuals have been found since 1980 (Malaisse 10287 BR). Based on these observations, this species is listed as presumed Extinct.","This plant was strictly endemic to copper-rich soil (i.e., it was an absolute metallophyte). Its natural habitat was restricted to steppe savanna, where it was found growing in copper outcrops. This habitat, which is naturally enriched with copper, is of rare occurrence.In the Katangan Copper Belt area, mineralised rocks appear as rounded hills, typically a few tenths of meters above the level of the surrounding non-mineralised areas, and most are typically a few tenths of hectares in area, rarely exceeding 1 km² (Faucon et al. 2010). The distance between nearby hills varies from less than a few hundred meters to more than 20 km (Faucon et al. 2010).",This species was lost as its habitat was destroyed by surface mining.,This species is now believed to be Extinct.,"",This species was endemic to the Katangan copperbelt area in the Democratic Republic of the Congo. It was found at only one location (Mine de l’Etoile) and it is now believed to be Extinct.,"",Terrestrial,This species was not protected by any national legislation. It is now believed to be Extinct.,Afrotropical,1980,false,false,Global
2503535,197874,Macrobrachium leptodactylus,Extinct,,2013,2011-11-30 00:00:00 UTC,3.1,English,"The species is only known from the type specimen collected from an unknown location in the Bogor Regency (2,664 km2) in Java, Indonesia in 1888. Surveys in the past 30 years in the area have failed to collect the species. This complex of freshwater shrimp species have been well surveyed in the wider region and based on the total lack of records over the past 30 years (surveyed every year) in the Bogor Regency and the level of development of the Regency since the description, the species is assessed as Extinct. It is however noted that Ou and Yeo (1995) consider that Macrobrachium leptodactylus could be a synonym of M. pilimanus, a widespread species in Java.",The exact habitat requirements are unknown.,"Since the species was collected 1888, the Bogor Regency has developed significantly (urban and agriculture). There are now 1,791 people per km2 according to 2010 official population census of the Bogor Regency.",Extinct. Surveys in the past 30 years in the area have failed to collect the species.,Stable,"The species is only known from the type specimen collected from an unknown location in the Bogor Regency in Java, Indonesia in 1888 (Chace and Bruce 1993). Surveys in the past 30 years in the area failed to collect the species.",No information is available.,Freshwater (=Inland waters),None,Indomalayan,1888,false,false,Global
