assessmentId,internalTaxonId,scientificName,code,name,note
118976576,54583,Anaxyrus baxteri,2.1,Site/area management,
118976576,54583,Anaxyrus baxteri,4.3,Awareness & communications,
118976576,54583,Anaxyrus baxteri,1.2,Resource & habitat protection,
118976576,54583,Anaxyrus baxteri,1.1,Site/area protection,
118976576,54583,Anaxyrus baxteri,3.2,Species recovery,
118976576,54583,Anaxyrus baxteri,3.4.1,Captive breeding/artificial propagation,
118976576,54583,Anaxyrus baxteri,3.3.1,Reintroduction,
184207893,44080,Brighamia insignis,1.1,Site/area protection,""
184207893,44080,Brighamia insignis,3.4.2,Genome resource bank,""
184207893,44080,Brighamia insignis,2.2,Invasive/problematic species control,""
184207893,44080,Brighamia insignis,4.1,Formal education,""
184207893,44080,Brighamia insignis,3.4.1,Captive breeding/artificial propagation,""
184207893,44080,Brighamia insignis,1.2,Resource & habitat protection,""
184207893,44080,Brighamia insignis,2.1,Site/area management,""
184207893,44080,Brighamia insignis,4.3,Awareness & communications,""
184207893,44080,Brighamia insignis,3.3.2,Benign introduction,""
184207893,44080,Brighamia insignis,2.3,Habitat & natural process restoration,""
184207893,44080,Brighamia insignis,3.1.2,Trade management,""
184207893,44080,Brighamia insignis,3.3.1,Reintroduction,""
241413513,34169,Dendroseris gigantea,1.1,Site/area protection,""
241413513,34169,Dendroseris gigantea,1.2,Resource & habitat protection,""
241413513,34169,Dendroseris gigantea,2.2,Invasive/problematic species control,""
241413513,34169,Dendroseris gigantea,3.3.1,Reintroduction,""
241413513,34169,Dendroseris gigantea,3.4.1,Captive breeding/artificial propagation,""
243426977,41888,Encephalartos heenanii,4.3,Awareness & communications,""
243426977,41888,Encephalartos heenanii,3.3.1,Reintroduction,""
243426977,41888,Encephalartos heenanii,3.2,Species recovery,""
2381622,195376,Basananthe cupricola,4.3,Awareness & communications,""
2381622,195376,Basananthe cupricola,2.1,Site/area management,""
2381622,195376,Basananthe cupricola,5.1.2,National level,""
2381622,195376,Basananthe cupricola,2.3,Habitat & natural process restoration,""
2381622,195376,Basananthe cupricola,3.4.1,Captive breeding/artificial propagation,""
2381622,195376,Basananthe cupricola,3.4.2,Genome resource bank,""
56605215,56605187,Diplazium laffanianum,3.3.1,Reintroduction,""
56605215,56605187,Diplazium laffanianum,3.2,Species recovery,""
10390353,41027,Graecoanatolica macedonica,2.1,Site/area management,
2594210,199495,Margatteoidea amoena,1.1,Site/area protection,
10856873,44109,Cyanea pinnatifida,3.4.1,Captive breeding/artificial propagation,None
22159785,7121,Elaphurus davidianus,3.2,Species recovery,
22159785,7121,Elaphurus davidianus,3.3.1,Reintroduction,
22159785,7121,Elaphurus davidianus,4.3,Awareness & communications,
22159785,7121,Elaphurus davidianus,2.1,Site/area management,
22159785,7121,Elaphurus davidianus,1.1,Site/area protection,
22159785,7121,Elaphurus davidianus,1.2,Resource & habitat protection,
22159785,7121,Elaphurus davidianus,4.1,Formal education,
16935685,54837,Nectophrynoides asperginis,2.3,Habitat & natural process restoration,
16935685,54837,Nectophrynoides asperginis,2.1,Site/area management,
16935685,54837,Nectophrynoides asperginis,1.1,Site/area protection,
16935685,54837,Nectophrynoides asperginis,3.3.1,Reintroduction,
16935685,54837,Nectophrynoides asperginis,3.2,Species recovery,
99166529,97104847,Calathus extensicollis,2.3,Habitat & natural process restoration,""
99166529,97104847,Calathus extensicollis,2.2,Invasive/problematic species control,""
99166529,97104847,Calathus extensicollis,2.1,Site/area management,""
99166529,97104847,Calathus extensicollis,5.4.3,Sub-national level,""
99166529,97104847,Calathus extensicollis,4.3,Awareness & communications,""
99166529,97104847,Calathus extensicollis,4.1,Formal education,""
99166539,97111002,Calathus vicenteorum,2.3,Habitat & natural process restoration,""
99166539,97111002,Calathus vicenteorum,2.2,Invasive/problematic species control,""
99166539,97111002,Calathus vicenteorum,2.1,Site/area management,""
99166539,97111002,Calathus vicenteorum,5.4.3,Sub-national level,""
99166539,97111002,Calathus vicenteorum,4.3,Awareness & communications,""
