internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
13013,Megupsilon aporus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,Megupsilon,aporus,,,,,"Miller &amp; Walters, 1972",
14556,Neoplanorbis tantillus,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Neoplanorbis,tantillus,,,,,"Pilsbry, 1906",
14882,Notropis aulidion,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,aulidion,,,,,"Chernoff &amp; Miller, 1986",
177724,Stagnicola pilsbryi,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,LYMNAEIDAE,Stagnicola,pilsbryi,,,,,"Hemphill, 1890","Jackiewicz (1998) states that there are several problems concerning the  nomenclature of the family Lymnaeidae, and that there is probably no  other snail group in such taxonomical disarray. <em>Stagnicola</em> has been used as a synonym for <em>Lymnaea</em> by various authors, and as a subgenus of <em>Lymnaea</em> by others (Ponder and Waterhouse 1997, Vinarski 2003, NatureServe 2009). Hovingh (1993) lists this species as <em>Lymnaea (Stagnicola) pilsbryi</em>, whereas NatureServe (2009) name it <em>Stagnicola pilsbryi</em>. Dillon (2009) suggests that <em>Lymnaea pilsbryi</em> is a synonym of <em>Lymnaea humilis,</em> but this is neither supported or denied in other literature. <em>Stagnicola</em>&#160;is used by Turgeon <em>et al.</em> (1998) in the most recent list. However, Hubendick (1951) used<em> Lymnaea</em>. For the purpose of this assessment, we follow the taxonomy used by NatureServe."
179630,Kalanchoe fadeniorum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES,CRASSULACEAE,Kalanchoe,fadeniorum,,,,,Raadts,
191116,Atherinella callida,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Atherinella,callida,,,,,"Chernoff, 1986",
191696,Allotoca goslinei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Allotoca,goslinei,,,,,"Smith &amp; Miller, 1987","The Holotype of this species was collected together with Paratopotypes by Robert Miller and others in February 1976 from the Río (Potrero) Grande, about 9.6km W of the town of Ameca. Several Paratypes go back to collections from the type location in 1957 and 1971, one single male to a collection of R. Vrijenhoek and M. Douglas from a bridge over the Río Ameca (precisely: Río Cuisillos), 1km E of the estación Pacana, SE of the Presa La Vega, in 1981. No subpopulations are distinguished."
195373,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,,P.A. Duvign. &amp; Dewit,
195376,Basananthe cupricola,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,PASSIFLORACEAE,Basananthe,cupricola,,,,,Robyns ex G.A. Levin,
197874,Macrobrachium leptodactylus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Macrobrachium,leptodactylus,,,,,"(De Man, 1892a)","Ou and Yeo (1995) consider that <span style=""font-style: italic;"">Macrobrachium leptodactylus</span> is a synonym of <span style=""font-style: italic;"">M. pilimanus</span>."
199495,Margatteoidea amoena,ANIMALIA,ARTHROPODA,INSECTA,BLATTODEA,BLATTELLIDAE,Margatteoidea,amoena,,,,,"(Bolivar, 1924)",
199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,EUPHORBIACEAE,Acalypha,wilderi,,,,,Merr.,
201472,Eucarlia alluaudi,ANIMALIA,ARTHROPODA,DIPLOPODA,SPIROBOLIDA,PACHYBOLIDAE,Eucarlia,alluaudi,,,,,"(Brolemann, 1896)",
201484,Orthomorpha crinita,ANIMALIA,ARTHROPODA,DIPLOPODA,POLYDESMIDA,PARADOXOSOMATIDAE,Orthomorpha,crinita,,,,,"Attems, 1900",
20285,Skiffia francesae,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Skiffia,francesae,,,,,"Kingston, 1978","The types Kingston used for her description of <em>Skiffia francesae</em>&#160;(1978) were collected by Miller and Fitzsimons in 1970 from the Río Teuchitlán E of Teuchitlán. Two decades later, in 2006, a stock of <em>Skiffia </em>was found in the Molino pond near Cuyacapán, Laguna de Sayula drainage. Fish from this locality are regarded to belong to the Golden Skiffia. According to these two drainages, two subpopulations are recognized: The Upper Río Ameca subpopulation (type subpopulation) and the Laguna de Sayula subpopulation. Both are regarded Extinct in the Wild."
21120,Stypodon signifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Stypodon,signifer,,,,,"Garman, 1881",
21250,Syncaris pasadenae,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Syncaris,pasadenae,,,,,"(Kingsley, 1897)",
23158,Xiphophorus meyeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,POECILIIDAE,Xiphophorus,meyeri,,,,,"Schartl &amp; Schröder, 1988",
