assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
54357815,19148,Lithobates fisheri,7.2.8,Abstraction of ground water (unknown use),1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
54357815,19148,Lithobates fisheri,8.1.2,Named species,2.1|2.3.2,Species mortality|Competition,,Aquarana catesbeianus,,,,,"Past, Unlikely to Return",
78430385,19476,Rheobatrachus vitellinus,8.1.1,Unspecified species,1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78430385,19476,Rheobatrachus vitellinus,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78430385,19476,Rheobatrachus vitellinus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",
78430385,19476,Rheobatrachus vitellinus,7.1.1,Increase in fire frequency/intensity,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,8.1.2,Named species,1.2,Ecosystem degradation,,Ageratina riparia,,,,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,8.1.1,Unspecified species,1.2|2.2,Ecosystem degradation|Species disturbance,,,,,,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,7.2.7,Abstraction of ground water (agricultural use),1.2,Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
78430533,19475,Rheobatrachus silus,8.1.2,Named species,1.2,Ecosystem degradation,Feral,Sus domesticus,,Unknown,Unknown,,"Past, Unlikely to Return",
78447380,21529,Taudactylus acutirostris,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",
78447380,21529,Taudactylus acutirostris,3.2,Mining & quarrying,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
78447380,21529,Taudactylus acutirostris,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
78447380,21529,Taudactylus acutirostris,8.1.2,Named species,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,Feral,Sus domesticus,,Unknown,Unknown,,Ongoing,
118976576,54583,Anaxyrus baxteri,8.1.2,Named species,1.2,Ecosystem degradation,,Unspecified Tamarix,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,8.2.2,Named species,2.1,Species mortality,,Unspecified MUSTELIDAE,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,11.2,Droughts,1.2,Ecosystem degradation,,,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,9.3.3,Herbicides and pesticides,1.2,Ecosystem degradation,,,,,,,Ongoing,
118976576,54583,Anaxyrus baxteri,7.2.3,Abstraction of surface water (agricultural use),1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
168631084,168623053,Syzygium humblotii,2.1.4,Scale Unknown/Unrecorded,"","",,,,,,,"Past, Unlikely to Return",
168631084,168623053,Syzygium humblotii,8.1.1,Unspecified species,"","",,,,,,,"Past, Unlikely to Return",
216881879,216881863,Govenia floridana,11.4,Storms & flooding,1.2,Ecosystem degradation,,,,Majority (50-90%),Unknown,,"Past, Unlikely to Return",
216881879,216881863,Govenia floridana,5.2.1,Intentional use (species is the target),2.1|2.2,Species mortality|Species disturbance,,,No,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
216881879,216881863,Govenia floridana,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.1,Unspecified species,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,7.2.8,Abstraction of ground water (unknown use),1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.2,Named species,1.2,Ecosystem degradation,,Lantana camara,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.2,Named species,1.2,Ecosystem degradation,,Baccharis halimifolia,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.2,Named species,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,Sus domesticus,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,8.1.2,Named species,1.2,Ecosystem degradation,,Ageratina riparia,,,,,"Past, Unlikely to Return",
78447626,21530,Taudactylus diurnus,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,8.1.2,Named species,2.1,Species mortality,,Batrachochytrium dendrobatidis,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,9.5.1,Acid rain,1.2,Ecosystem degradation,,,,Whole (>90%),Causing/Could cause fluctuations,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,4.1,Roads & railroads,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
172203252,55461,Boana cymbalum,9.5.4,Type Unknown/Unrecorded,1.2|2.1,Ecosystem degradation|Species mortality,,,,Whole (>90%),Causing/Could cause fluctuations,,"Past, Unlikely to Return",
184207893,44080,Brighamia insignis,8.2.1,Unspecified species,2.3.3,Loss of mutualism,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,11.5,Other impacts,1.2,Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.3.2,Ecosystem degradation|Competition,,Lantana camara,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.3.2,Ecosystem degradation|Competition,,Syzygium cumini,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
184207893,44080,Brighamia insignis,10.3,Avalanches/landslides,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.1,Unspecified species,1.2|2.1|2.3.2,Ecosystem degradation|Species mortality|Competition,,,,,,,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.1,Ecosystem degradation|Species mortality,Feral,Capra hircus,,Whole (>90%),Rapid Declines,,Ongoing,
184207893,44080,Brighamia insignis,8.1.2,Named species,1.2|2.3.2,Ecosystem degradation|Competition,,Unspecified Melinis,,Whole (>90%),"Slow, Significant Declines",,Ongoing,
208158571,22696558,Tachybaptus rufolavatus,2.1.4,Scale Unknown/Unrecorded,1.1,Ecosystem conversion,,,,Whole (>90%),Unknown,,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,2.1.2,Small-holder farming,1.2,Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.1.2,Named species,1.2,Ecosystem degradation,,Eichhornia crassipes,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,Whole (>90%),Negligible declines,,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],2.1,Species mortality,,,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.1.2,Named species,2.1,Species mortality,,Unspecified Tilapia,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.1.2,Named species,2.1,Species mortality,,Channa striata,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.1.2,Named species,2.1,Species mortality,,Micropterus salmoides,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.2.2,Named species,2.3.1,Hybridisation,,Tachybaptus ruficollis,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
208158571,22696558,Tachybaptus rufolavatus,8.1.1,Unspecified species,1.2|2.3.2,Ecosystem degradation|Competition,,,,Whole (>90%),"Slow, Significant Declines","Exotic plants, animals and fish","Past, Unlikely to Return",
212912048,212912045,Triplophysa cuneicephala,7.2.10,Large dams,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Whole (>90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,5.2.2,Unintentional effects (species is not the target),1.2,Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,7.3,Other ecosystem modifications,1.2,Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,2.1.3,Agro-industry farming,1.2,Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
221206875,22696615,Podiceps andinus,8.1.2,Named species,2.1,Species mortality,,Oncorhynchus mykiss,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,8.1.2,Named species,2.3.7,Reduced reproductive success,,Unspecified Rattus,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,7.1.3,Trend Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,8.1.1,Unspecified species,2.1,Species mortality,,,,Whole (>90%),Rapid Declines,Unspecified micro-organisms,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,8.1.2,Named species,2.1,Species mortality,,Canis familiaris,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,8.1.2,Named species,2.1,Species mortality,,Felis catus,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,2.3.2,"Small-holder grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
227794604,22678955,Coturnix novaezelandiae,8.1.2,Named species,1.2,Ecosystem degradation,,Ovis aries,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
