assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
546437,14881,Notropis amecae,Extinct in the Wild,,2019,2018-12-05 00:00:00 UTC,3.1,English,"This species is endemic to the upper Río Ameca in Jalisco, Mexico. The species was considered extinct in 2000, but was later found in 2005 and 2008. In 2014, intensive surveys during ten months in the entire range of its distribution, and using different sampling techniques, did not find the species. In 2016, 40 individuals were reintroduced in its native range. Recent surveys have recorded the species there, but it is unclear if the population is viable. Based on this, the species is considered Extinct in the Wild. If the introduced population proves to be viable in the next few years, a reassessment should be conducted and a change in category may be considered.","The species used to occur above 1,300 m Asl, in the channel of Río Ameca and two tributaries, one fed by warm springs with much vegetation (including water hyacinth, green algae, Ceratophyllum, and Potamogeton), in slight, moderate or swift current, over sand, rock, and silt, at depths up to about 1 m (Miller et al. 2005). The Teuchitlán River (tributary fed by springs) has an average width of 6 m, with a bottom of silt, sand, gravel, rocks and boulders (Chernoff and Miller 1986).Spawning probably occurs from early spring to late summer, as suggested by mature adults and appearance of young. A single mature female examined contained 272 eggs (Miller et al. 2005, Soto-Galera and Alcántara-Soria 2007). ","The Teuchitlán River has been subject to destruction and modification resulting from the extraction of water for human consumption (Miller and Fitzsimons 1971, Williams et al. 1989). The river receives domestic drainage, effluents from runoff from agricultural fields of sugar and tequila agave that are subject to frequent applications of pesticides (López-López et al. 2003). In addition, the Ameca River basin is classified as strongly contaminated (Vázquez-Gutiérrez 1994). The exact cause of the population decline is not known but may be related to habitat loss from ground water depletion (López-López and Paulo Maya 2001). There are six introduced species in the Teuchitlán River that may be affecting this species (O. Domínguez Domínguez pers. comm. 2018). Introduced species represent 90% of total biomass and abundance of the species collected in the river (O. Domínguez Domínguez pers. comm. 2018).","Historically, this species was never common. Of 2,895 fishes collected in the upper Ameca river basin between 1939 and 1969, only 46 were N. amecae (Chernoff and Miller 1986). Before 1996 it was considered an extinct species (Hilton-Taylor, 2000). Later, it was reported by López-López and Paulo-Maya (2001) and in 2008 by J. Lyons and P. Gesundheit-Montero (UWZM 12145). In 2014, the entire distribution of the species was surveyed with appropriate methods during ten months (one week each time), and no individuals were collected. In 2016, 40 individuals of this species were re-introduced in Balneario El Rincon (O. Domínguez Domínguez pers. comm. 2018). These individuals come from a captive population of six individuals collected in 2005. The species is still apparently present there, but its population size and trend is not known (O. Domínguez Domínguez pers. comm. 2018).","","This species is endemic to Mexico, where it used to occur in the upper part of Río Ameca-Magdalena basin, Jalisco (Miller et al. 2005).",This species is not used or traded.,Freshwater (=Inland waters),"It is currently considered a taxon endangered by the American Fisheries Society (Jelks et al. 2008). It is considered extinct under Mexican law NOM-059-SEMARNAT-2010. In 2016, the species was re-introduced in Balneario El Rincon, but its population is currently not being monitored (O. Domínguez Domínguez pers. comm. 2018). Research is needed to determine the success and viability of the re-introduced population. The species is also being bred in captivity (O. Domínguez Domínguez pers. comm. 2018). Control of introduced species and education and awareness programs of local communities have also been implemented (O. Domínguez Domínguez pers. comm. 2018). The Teuchitlán River is a Ramsar site.",Neotropical,2008,false,false,Global
546490,14882,Notropis aulidion,Extinct,,2019,2018-12-06 00:00:00 UTC,3.1,English,"Notropis aulidion was historically known only from a long, narrow reservoir of the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico. Despite extensive sampling attempts, this species was last recorded in 1961 and is now widely regarded as Extinct.","The historical habitat of this species was restricted to a single narrow reservoir at an elevation of 1865 m Asl, with minimal vegetation, a muddy substrate, low velocity flow and a water depth of 1 m (Miller et al. 1989, 2005).","The extirpation of this species likely resulted from reduced streamflow, municipal and industrial pollution, and the effects of introduced nonnative species (e.g. Micropterus salmoides) following marked increases in the population and development of Durango City (Miller et al. 1989).",The historical population size of this species is unknown. It has not been reported since 1961 (Miller et al. 1989). Many surveys in the species' historical range and nearby areas have not reported the species.,"","Notropis aulidion was historically restricted to the Rio del Tunal in the upper Rio Mezquital drainage basin, Durango, Mexico (Chernoff and Miller 1986, Miller et al. 1989, Miller et al. 2005). It was known from only two collections in a small reservoir (Miller et al. 2005). It was last recorded in 1961 despite multiple subsequent sampling attempts, and is now widely regarded as extinct (Miller et al. 2005, Jelks et al. 2008, Bennett and Conway 2010, Burkhead 2012).",The historical use and trade of this species is unknown.,Freshwater (=Inland waters),There are no species-specific conservation measures in place for N. aulidion as it is considered extinct.,Nearctic,1961,false,false,Global
1970358,191116,Atherinella callida,Extinct,,2019,2018-02-23 00:00:00 UTC,3.1,English,"Atherinella callida was a narrow endemic freshwater fish species known only from a single collection taken at Refugio, Veracruz, Mexico just west-north-west of Acatlan (Eschmeyer 1998, Chernoff 1986). The species has not been reported from the wild since 1957 (Burkhead 2012). Over the last fifty years there have been several comprehensive surveys but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). A continuing decline of the species' habitat quality has been reported as a result of water pollution from urban and industrial discharges and agricultural run-off, increased sedimentation, dewatering, and anthropogenic modifications to natural channels and flow regimes due to the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999,  Jelks, et al. 2008, Garrido et al. 2010). Based on these observations and the survey effort, the species is assessed as Extinct.","Very little is known about this freshwater riverine species, other than inhabiting rocky-bottomed waters, with a maximum known size of 55 mm (SL) (Miller 2005).","The specific threats which caused and related to the extinction of Atherinella callida are thought to be a direct result of habitat loss and degradation, including perturbations caused by factors such as sedimentation, water pollution from urban and industrial discharges and agricultural run-off, dewatering, and anthropogenic modifications to natural channels and flow regimes, as a result of the construction of large dams within the species distribution range (Harrison &amp; Stiassny 1999, Jelks et al. 2008, Garrido et al. 2010).",This species is thought to be extinct.,"","Atherinella callida is a narrow endemic known only from a single collection taken at Refugio, Veracruz, Mexico just west north west of Acatlan (Eschmeyer 1998 Chernoff, 1986). The streams around Refugio drain into the Rio Tonto, a tributary to the Rio Papaloapan. There have been several comprehensive surveys over the last fifty years but all the attempts (with Dr. and Mrs. Robert Rush Miller in February, 1982) to capture this species in the vicinity of Refugio and in the Rio Amapa (also tributary to the Rio Tonto) were unsuccessful (Chernoff 1986). The species has not been reported from the wild since 1957, which is considered the estimated year of extinction (Burkhead 2012).",Atherinella callida is believed to be extinct.,Freshwater (=Inland waters),Atherinella callida is believed to be extinct.,Neotropical,1957,false,false,Global
1998432,191696,Allotoca goslinei,Extinct in the Wild,,2019,2018-03-07 00:00:00 UTC,3.1,English,"Given the fact, that Allotoca goslinei was the dominant fish (ca. 75% proportional abundance) at the last known location of the study by Helmus et al. (2009), and then decreased in numbers since about the year 2000, to a few individuals in 2004, and zero when the habitat was extensively sampled in 2005–2006, it can be inferred that the species has disappeared completely from the wild. With no known location and no known wild population, but several captive populations in Europe, Mexico and the United States, the Banded Allotoca is assessed Extinct in the Wild.","Here is the habitat description from Smith and Miller (1987), slightly modified by Köck in 2018: ""At the type locality, the Río Potrero Grande flows through a steep-walled, twisting canyon of high gradient that is well shaded by willows (Salix spp.) and the canyon walls. The species was taken only from a quiet pool of clear to murky water, that was about 23 m long and 3.2-3.8 m wide, up to 1.2 m deep at the steeply shelving south bank and with a substrate of sand, silt, rocks and boulders. Filamentous algae were abundant, and there were small patches of floating vascular plants. In the dry season the current was slight to nil. This was the terminal pool before the creek emerged from the canyon and dropped precipitously to the Río Ameca. Allotoca goslinei was found primarily in shallow water (15-26 cm) underneath floating plants (water hyacinth, algae, and a Nasturtium-like plant) along the gradually sloping north side of the pool. The largest series came from beneath a single patch of floating plants about 3 m long and extending no more than 1 m into the pool. The water temperature during three visits were 16.4-20 °C from mid-day to late afternoon, mid February to early March. Other fishes taken in the same pool were a Catostomid, Moxostoma mascotae (now: Moxostoma austrinum), a Goodeid, Allodontichthys n. sp. (now: Allodontichthys polylepis) and a Poeciliid, Poeciliopsis infans. Rana sp. was also captured, including tagpoles and adults."" Wischnath (1993) additionally mentioned Ilyodon furcidens being a co-inhabitant. Based on the diet of related species, the Banded Allotoca was most likely feeding on small arthropods in the wild (Domínguez-Domínguez et al. 2002, Doadrio and Domínguez-Domínguez 2004, Webb et al. 2004). Schindler reported to Hieronimus (Hieronimus 1995), that on his visit of the type location in 1988, the water looked very polluted and reminded him more on a sewer than on a pool. The water was turbid, with little visibility, and the fish were caught only incidentally, but all species mentioned by Smith and Miller (1987) were present. Following Hieronimus, the condition of the habitat might be caused by an extremely dry spring in 1988.","Allotoca goslinei was moderately common until the year 2000 at the type location in the Río Potrero Grande. About that year, non native and invasive Green Swordtails (Xiphophorus hellerii) occurred, which invaded the type locality between 2000 and 2004 and increased in abundance while Allotoca goslinei decreased in abundance. The Swordtail is thought to have displaced Allotoca goslinei through competition for prey (Arthington 1989), since the stream habitat quality did not noticeably change (Helmus et al. 2009 unpublished data). Both species likely competed for the same sort of prey (Arthington 1989).","Deduced from inconclusive surveys conducted by Helmus et al. in 2005 and 2006 (Helmus et al. 2009), this species is likely extinct in nature. This can be decided due to the fact that in 2000 Alloctoca goslinei was still the dominant fish at the type locality (ca. 75% proportional abundance), but in extensive samplings of the river five, six years later, no more specimens were found. Based on this, the Banded Allotoca is feared to be Extinct in the Wild (Lyons 2011). A few captive strains do exist in Europe, Mexico and the United States, but all of them are low in numbers and not easy to maintain.","","The Banded Allotoca was endemic to the Mexican federal state of Jalisco and historically only known from few collections in the headwaters of the Río Ameca, namely from the type location, the Río Grande (or Río, Arroyo, Potrero Grande about 10 km west of the town of Ameca), and from the Río Cuisillos (1 km east of the train station at Pacana near the Presa La Vega, where it coalesces with the Río Salado forming up the Río Ameca) (Smith and Miller 1987). From this distribution pattern, it can be inferred that it was more widespread in the headwaters of the Río Ameca drainage, but stayed either unnoticed or was very scarce. However, it was eliminated from the Río Ameca by the late 1990's, but remained moderately common in the Río Potrero Grande (Lyons 2011), until non-native swordtails (Xiphophorus hellerii) invaded the river after 2000. Being the dominant species in 2000, with about 75% proportional abundance, the numbers of Allotoca goslinei declined rapidly thereafter, and extensive samplings in 2005 and 2006 didn't show a single individual (Helmus et al. 2009). The last record dates back to 2004 (Lyons 2011).",The Banded Allotoca is not used for consumption and is not a target species for the ornamental fish trade.,Freshwater (=Inland waters),"The Banded Allotoca is included in the international ex-situ breeding project ""Allotoca-Mesa Central"" from the Austrian Association of Aquarists (ÖVVÖ) for all species of the genera Allotoca and Neoophorus (http://www.oevvoe.org/allotoca-mesa-central). Other conservation effort is a monitoring and ex-situ breeding project run by the Laboratorio de Biología Acuatica in Michoacan University, Morelia, MexicoNo other conservation efforts for this species are known. ",Neotropical,2004,false,false,Global
2757376,20285,Skiffia francesae,Extinct in the Wild,,2019,2018-04-18 00:00:00 UTC,3.1,English,"The Golden Skiffia was known from the type location, the Río Teuchitlán and from the El Molino pond in the endorheic Laguna de Sayula basin. It disappeared from the type location even before it was described due to habitat alteration by river fragmentation, water pollution, competition through non-native fish (Xiphophorus maculatus) and through destruction of the embankment by live stock, leading to a complete disappearance of habitat. From the El Molino pond, it was extirpated by a heavy drought in 2010. Taking into consideration that no wild population has been known for at least eight years, the species is assessed Extinct in the Wild. ","The former habitat was a quiet, thermal and clear to murky water with only a slight current. The substrate was deep mud with a few rocks, silt and sand. A few species of aquatic plants were present, comprising Eichhornia, Pistia, Ceratophyllum and Potamogeton. The Golden Skiffia prefered depths of less than 0.5 m. Miller and Fitzsimons measured water temperatures between 24 and 26 °C in February 1976 (Miller 2005). The gut is about two to three times the length of the fish. Kingston documented the content, mainly pennate diatoms, some filamentous algae, one small snail and a few pollen grains. The teeth are mainly bifid in both rows. This species definitively grazes on aufwuchs and algae on vertical structures. Another indication for this feeding behaviour are the upturned lips and the wedge-shaped head.The Balneario El Rincón is a trapezium shaped spring with clear water and ground of sand and silt. The width is about 12 m, the length is about 25 m long. There is an outlet into a dammed section of the Teuchitlán river used as cattle trough, and another outlet draining to the subsequent section of the river. The depth of the spring is around 1 m, the walls are concrete but bordered inwards partly with big rocks. In the east angle arises the main spring under the roots of a large Metasequoia tree. ","The species has disappeared from the wild. The biggest threat to a wild population will be non-native fish species. Several exotic species have been introduced near the type locality resulting in declines in native fishes within the Río Teuchitlán (Miller 2005). Meanwhile, exotic species (Oreochromis sp., Xiphophorus hellerii, Poecilia mexicana, Pseudoxiphophorus bimaculatus) make up to 95% of the individuals in the spring area of Teuchitlán (Medina-Nava et al. 2017). A study revealed that densities of Goodeid species were lower or were absent in localities in the Río Teuchitlán, where introduced species were abundant or where there were more than one introduced species (De La Vega-Salazar et al. 2003b). The river has been degraded due to the construction of the La Vega Dam and it is suggested that habitat degradation may have been the cause of the extant endemic Goodeids now being confined to a small area at the headwaters of the river. The species was also threatened as consequence of the springs being turned into spas, preventing movement of fish between pools (De La Vega-Salazar et al. 2003a).","This species is believed to be Extinct in the Wild and disappeared from the Río Teuchitlán due to competition from non-native fish, eventually Xiphophorus maculatus, through water pollution and river fragmentation, and modification of the springs into a water recreation area. The subpopulation from the El Molino pond, discovered in 2006, was a victim of a heavy drought in 2010 and became extirpated as well. ","","The Golden Skiffia is a freshwater fish species endemic to the Mexican federal state of Jalisco. It was historically only known from the Río Teuchitlán in the Río Ameca headwaters and from the Río Ameca itself about 12 km east of the town of Ameca. Individuals collected from the El Molino pond (in 2006) in the endorheic Laguna de Sayula basin also belong to this species and those from the Presa La Ciénaga (Presa Buenavista), upper Río Ameca drainage, should be Golden Skiffia as well due to the drainage (determined as Skiffia multipunctata in 1963, before Skiffia francesae was described). Specimens from a historical collection (1939) of the Splotched Skiffia by Miller in a river near Santa Cruz de las Flores, endorheic Laguna Atotonilco drainage, probably belonged to Skiffia francesae as well due to the hydrographic history of this basin (Zacoalco paleolake included parts of the upper Río Ameca drainage), but this is uncertain. However, this species disappeared from all of these habitats and only persists in captivity.","The species is not used for human consumption, but targeted in the aquarium trade by a certain degree. In the 1970's a hybrid with Skiffia multipunctata (called ""Black Beauty"") was bred and regionally distributed, but probably disappeared again from the hobby.",Freshwater (=Inland waters),"No reintroduction or conservation actions are currently known for this species, but the Río Teuchitlán and the La Vega Dam are both sites included within a Ramsar site (Ramsar Secretariat Site No.2026, 2009). Although this does not include the Ameca River directly, it is the next extent of the water flow from these two systems, and so any conservation actions or water quality controls within these water-bodies might continue down stream into the Ameca River.In 2016, the Michoacan University started a reintroduction project for Zoogoneticus tequila and Notropis amecae, both emdemic to the Río Ameca headwaters. The first one, a Goodeid, and the second, a Cyprinid species, inhabited the Río Teuchitlán drainage in historical time, but have been extirpated by unknown reasons. The reintroduction area is focusing on the spring area and the subsequent river sections, mainly the part that is used as a trough, and the schedule includes a complete extraction of non-native fish species from these sections and a long term species control. This action would have a direct positive impact on the Golden Skiffia as exotics represent about 90% of the individuals, so a reintroduction of the species could be successful.",Neotropical,2010,false,false,Global
2774500,21120,Stypodon signifer,Extinct,,2019,2018-11-13 00:00:00 UTC,3.1,English,"This species is only known from 6 specimens collected in 1880 and 1903, and attempts to locate in 1953, 1972 and 1984 all failed. These attempts also showed that its natural spring habitat had all but disappeared due to habitat modification and pollution. This species is therefore assessed as Extinct and it’s estimated year of extinction is 1930, 27 years after it was last recorded in the wild.","This species is only known from 6 specimens collected in 1880 and 1903, so its biology is mostly unknown. It occurred in springs on the floor of the Parras valley. It used its large pharyngeal teeth to crush snails and the majority of its diet was likely molluscs (Miller et al. 2005). Its maximum known standard length was 40 mm.","This species is thought to have become extinct due to a combination of threats that include habitat modification to divert water for agriculture, industrial and domestic sewage, and the invasive species Cyprinus carpio that was present in a man-made reservoir (Miller 1961). This lead to the loss of natural springs and greatly deteriorated water quality. The snails on which this species predominately fed were also thought to be particularly sensitive to changes in the water level and quality, so its food base would have rapidly declined (Miller et al. 1989).","This species is only known from 6 specimens collected in 1880 and 1903, and attempts to locate it failed in 1953, 1972 and 1984 (Miller et al. 2005). These surveys also showed that its natural spring habitats had disappeared (Miller 1961). The estimated year of extinction is 1930, 25 years after it was last recorded in the wild (Burkhead 2012). Surveys in the area where the species was found and adjacent areas have not recorded the species (H. Espinosa, A. Valdes and R. Mendoza pers. comm. 2018).","","This species was endemic to the Valle de Parras in the Chihuahuan Desert, Coahuila, Mexico, but is now considered to be extinct (Miller et al. 2005).",There is no information on the past use or trade of this species.,Freshwater (=Inland waters),There are no conservation measures in place as this species is thought to be extinct.,Nearctic,1903,false,false,Global
3145702,8431,Evarra bustamantei,Extinct,,2019,2018-12-05 00:00:00 UTC,3.1,English,"Evarra bustamantei is only known to occur within the southern part of the Valley of Mexico, in Mexico. Specifically, it was found in the channels of the Xochimilco-Tláhuac area and having not been seen in over 50 years, with the last sample in 1970, this species is presumed Extinct.","The species was collected in the channels of the Xochimilco-Tláhuac, in the Valley of Mexico (Álvarez del Villar and Navarro 1957). Maximum known SL is 70 mm (Miller et al. 2005).","It has not been collected in more than 50 years. There is pollution in the lakes and channels where the species was found from urban effluents, and water extraction. It is accepted that the two main causal agents of its disappearance were its restricted distribution and the destruction of its habitat (Jelks et al. 2008).",There are no data on population size and trends for this species. It is presumably extinct (Miller et al. 2005). Recent surveys have failed to detect the species in the area where it was distributed.,"","This species was endemic to the southern portion of Valley of Mexico, Mexico, specifically in the channels of the Xochimilco-Tláhuac area (Álvarez del Villar and Navarro 1957); presumably extinct (Miller et al. 2005).",There is no use/trade information for this species.,Freshwater (=Inland waters),There are no conservation measures in place for this species.,Neotropical,1970,false,false,Global
3145753,8432,Evarra eigenmanni,Extinct,,2019,2018-12-05 00:00:00 UTC,3.1,English,"Evarra eigenmanni was distributed in the channels of Chalco and the Xochimilco-Tláhuac area, in the Valley of Mexico, where it is probably extinct (Miller et al. 2005). It has not been collected in more than 50 years, with Meek collecting this species in 1901, and after this date it was not captured again until 1954 or since.",It inhabited the channels of Chalco and the Xochimilco-Tláhuac. Maximum known SL 80 mm (Miller et al. 2005).,"It has not been collected in more than 50 years. There is pollution in the lakes and channels where the species was found, from urban effluents and water extraction. It is accepted that the two main causal agents of its disappearance were its restricted distribution and the destruction of its habitat (Jelks et al. 2008).",Meek collected it in 1901 and after this date it was captured again until 1954. It has not been collected in more than 50 years (Jelks et al. 2008).,"","Evarra eigenmanni was distributed in the channels of Chalco and the Xochimilco-Tláhuac area, in the Valley of Mexico, where it is probably extinct (Miller et al. 2005) as it has not been collected in more than 50 years, with Meek collecting this species in 1901 and after this date it was not captured again until 1954 or since. ","It is unlikely that this species was used or traded, given its small size.",Freshwater (=Inland waters),There are no conservation measures in place for this species.,Neotropical,1954,false,false,Global
3145804,8433,Evarra tlahuacensis,Extinct,,2019,2018-12-05 00:00:00 UTC,3.1,English,"This species was distributed in the Lago de Chalco in the Valley of Mexico, where it is probably extinct (Miller et al. 2005) as it has not been collected in more than 50 years.",It was previously present in Lago de Chalco.,A major threat was its very restricted distribution: most of its habitat has disappeared and only contaminated remnants remain (Miller et al. 2005).,There are no data on population size and trends for this species. It is a scarce and probably extinct species (Álvarez and Navarro 1957).,"","This species was endemic to Lago de Chalco, near Tláhuac, Valle de México, Mexico. It is presumably extinct (Miller et al. 2005).","It is unlikely that this species was used or traded, given its small size.",Freshwater (=Inland waters),There are no conservation measures in place for this species. It was assessed as Extinct by IUCN in 1996.,Neotropical,1970,false,false,Global
3304833,11774,Leptoxis compacta,Extinct,,2000,2000-06-30 00:00:00 UTC,2.3,English,Listed as Critically Endangered in 1996 (Baillie and Groombridge 1996) due to lack of survey information. Recent surveys indicate that it is Extinct.,"","","","","","",Freshwater (=Inland waters),"",Nearctic,,false,false,Global
