assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
78430533,19475,Rheobatrachus silus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
118976576,54583,Anaxyrus baxteri,US,United States,Extinct Post-1500,Native,"[""Resident""]",
78447626,21530,Taudactylus diurnus,AU,Australia,Extinct Post-1500,Native,"[""Resident""]",
172203252,55461,Boana cymbalum,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
172621499,17078,Phrynomedusa fimbriata,BR,Brazil,Extinct Post-1500,Native,"[""Resident""]",
208158571,22696558,Tachybaptus rufolavatus,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",Yes
221206875,22696615,Podiceps andinus,CO,Colombia,Extinct Post-1500,Native,"[""Resident""]",Unknown
241563797,103780078,Acrocephalus luscinius,GU,Guam,Extinct Post-1500,Native,"[""Resident""]",Unknown
5993241,165228,Bromus bromoideus,BE,Belgium,Extinct Post-1500,Native,"[""Resident""]",
5993241,165228,Bromus bromoideus,LU,Luxembourg,Extinct Post-1500,Native,"[""Resident""]",
5993241,165228,Bromus bromoideus,FR,France,Extinct Post-1500,Native,"[""Resident""]",
7657156,180996,Platytropius siamensis,TH,Thailand,Extinct Post-1500,Native,"[""Resident""]",
8286338,184524,Pseudamnicola desertorum,DZ,Algeria,Extinct Post-1500,Native,,
8326304,184749,Pseudamnicola letourneuxiana,DZ,Algeria,Extinct Post-1500,Native,,
15361621,5438,Cottus echinatus,US,United States,Extinct Post-1500,Native,"[""Resident""]",
18230889,8128,Etheostoma sellare,US,United States,Extinct Post-1500,Native,"[""Resident""]",
19032197,17874,Pogonichthys ciscoides,US,United States,Extinct Post-1500,Native,"[""Resident""]",
19033113,39291,Moxostoma lacerum,US,United States,Extinct Post-1500,Native,"[""Resident""]",
21426347,10332,Hydropsyche tobiasi,DE,Germany,Extinct Post-1500,Native,,
56605215,56605187,Diplazium laffanianum,BM,Bermuda,Extinct Post-1500,Native,"[""Resident""]",
18233501,8891,Gambusia georgei,US,United States,Extinct Post-1500,Native,"[""Resident""]",
10838671,43993,Vanvoorstia bennettiana,AU,Australia,Extinct Post-1500,Native,,
12546193,6179,Cyprinus yilongensis,CN,China,Extinct Post-1500,Native,"[""Resident""]",
16935685,54837,Nectophrynoides asperginis,TZ,"Tanzania, United Republic of",Extinct Post-1500,Native,"[""Resident""]",
8283720,184510,Chambardia letourneuxi,EG,Egypt,Extinct Post-1500,Native,"[""Resident""]",
91292440,91292433,Unio madagascariensis,MG,Madagascar,Extinct Post-1500,Native,"[""Resident""]",
97386102,16527,Pelusios seychellensis,SC,Seychelles,Extinct Post-1500,Native,,
6178632,166049,Anabarilius macrolepis,CN,China,Extinct Post-1500,Native,"[""Resident""]",
3304833,11774,Leptoxis compacta,US,United States,Extinct Post-1500,Native,,
102879586,61393,Alosa vistonica,GR,Greece,Extinct Post-1500,Native,"[""Resident""]",Yes
137243081,5380,Coregonus oxyrinchus,GB,United Kingdom,Extinct Post-1500,Native,"[""Resident""]",Yes
137243081,5380,Coregonus oxyrinchus,BE,Belgium,Extinct Post-1500,Native,"[""Resident""]",Yes
137243081,5380,Coregonus oxyrinchus,DE,Germany,Extinct Post-1500,Native,"[""Resident""]",Yes
137243081,5380,Coregonus oxyrinchus,FR,France,Extinct Post-1500,Native,"[""Resident""]",Yes
137243081,5380,Coregonus oxyrinchus,NL,Netherlands,Extinct Post-1500,Native,"[""Resident""]",Yes
137244156,135506,Coregonus gutturosus,DE,Germany,Extinct Post-1500,Native,"[""Resident""]",Yes
137244156,135506,Coregonus gutturosus,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",Yes
137244156,135506,Coregonus gutturosus,AT,Austria,Extinct Post-1500,Native,"[""Resident""]",Yes
137247843,232858400,Coregonus zugensis,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",Yes
137328770,19948,Scardinius racovitzai,RO,Romania,Extinct Post-1500,Native,"[""Resident""]",Yes
137332201,135421,Salvelinus neocomensis,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",Yes
236050685,199173251,Vachellia polypyrigenes,CU,Cuba,Extinct Post-1500,Native,"[""Resident""]",
137243262,258435731,Coregonus trybomi,SE,Sweden,Extinct Post-1500,Native,"[""Resident""]",Yes
214530112,205789017,Anabarilius qionghaiensis,CN,China,Extinct Post-1500,Native,"[""Resident""]",
137244581,135513,Coregonus renke,DE,Germany,Extinct Post-1500,Native,"[""Resident""]",Yes
137245243,135529,Coregonus hoferi,DE,Germany,Extinct Post-1500,Native,"[""Resident""]",
137245925,135556,Coregonus bezola,FR,France,Extinct Post-1500,Native,"[""Resident""]",Yes
137246704,135570,Coregonus restrictus,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",Yes
137248113,135627,Coregonus fera,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",
137248113,135627,Coregonus fera,FR,France,Extinct Post-1500,Native,"[""Resident""]",
137249060,135671,Coregonus hiemalis,CH,Switzerland,Extinct Post-1500,Native,"[""Resident""]",
