"time","P"
0,10
1,13.4130024664267
2,12.6918248518646
3,11.5416822313642
4,14.0217567280472
5,17.0633571485201
6,17.8359894244128
7,20.6308792695129
8,22.7600501539368
9,24.8146677398318
10,28.157824202549
11,33.0428603464406
12,35.4138983583544
13,40.5226150032152
14,46.8669223764893
15,65.7408959768868
16,69.7687710129701
17,72.152803123252
18,69.5303231430839
19,72.2186100817631
20,86.824747031119
21,86.917259419495
22,89.9479985312169
23,96.9239330837862
24,115.009588385978
25,121.333684748669
26,135.869241446379
27,128.561876122537
28,130.907811343576
29,141.985563380097
30,125.210597174023
31,132.089745089836
32,131.38108659201
33,113.893436376825
34,118.972475129399
35,107.348570907812
36,112.815093636713
37,113.707667233244
38,109.421240596528
39,91.7615972933895
40,97.4430783441644
41,100.844384918996
42,92.5054067858156
43,90.9333053013838
44,94.6128573908029
45,90.051623437677
46,87.24306455155
47,98.9096561588648
48,115.076523106219
49,117.840028819206
50,124.940265834302
51,136.795339592692
52,128.933784552139
53,127.310733522479
54,115.836623152984
55,109.001851806152
56,95.8524514716221
57,89.9384213915337
58,104.868185476035
59,110.123510677493
60,107.046656543001
61,95.5679562780102
62,83.9989717202008
63,80.7208992646714
64,93.9044212620609
65,79.8196528648438
66,71.1714158816127
67,73.6379868147844
68,86.2864543831258
69,91.3485008843287
70,82.647606287655
71,100.778532604224
72,105.068582700527
73,108.94921786198
74,101.838847441066
75,103.772578925045
76,99.0505427874852
77,101.274379593006
78,101.719213773124
79,110.601988997429
80,105.508668873483
81,118.55116670124
82,126.774248587976
83,133.247138271683
84,125.637373465477
85,109.562239875018
86,117.815061115072
87,130.21859196848
88,134.120131860463
89,146.014495143311
90,155.786779626806
91,137.460074754164
92,116.424937367735
93,127.779533506001
94,127.958268205987
95,144.973169220799
96,151.295668081572
97,142.283468887983
98,120.939050023132
99,142.647842666784
100,138.74905966936
101,150.313231210608
102,134.105369441321
103,140.916409561698
104,183.732307118948
105,170.386381162556
106,138.211951829903
107,140.315883074507
108,119.590485648172
109,122.457020416117
110,103.254877853102
111,108.945201753325
112,106.951110498083
113,115.026129740854
114,102.767573096586
115,126.097865894361
116,132.368752868069
117,144.24071446282
118,125.807893930581
119,129.939520098391
120,123.156327261041
121,134.098407614013
122,116.439625680864
123,124.846847254216
124,134.696262498006
125,128.346083078245
126,130.101836426027
127,139.66611852211
128,148.52501019813
129,149.432081666765
130,143.039480825085
131,132.958299338237
132,106.213155627389
133,105.786056928361
134,109.12896961162
135,119.227117438338
136,92.9788441814987
137,107.832312951459
138,119.801662889083
139,94.7647957696938
140,106.78817276272
141,96.7623424744918
142,99.0657989166716
143,114.999855019908
144,121.807290269478
145,111.16701086319
146,98.4426423618972
147,102.367489289501
148,107.152181301385
149,99.9588412525172
150,94.7768201068122
151,93.9439074309222
152,92.6466798017988
153,101.381639661522
154,93.3686576288323
155,91.4419612000132
156,108.191530442299
157,112.546089749677
158,118.677087925235
159,117.345743572808
160,144.576459678241
161,166.11270847415
162,120.016179215277
163,99.726531566703
164,106.576451814681
165,107.22149239624
166,111.844697876882
167,107.766261166728
168,101.088129328303
169,115.032340207659
170,127.712541324122
171,128.785436999733
172,135.14763930323
173,134.290779001756
174,137.368618870748
175,136.110273918363
176,130.865359273545
177,111.088528673295
178,110.424737426431
179,99.6478317510066
180,89.9177132097843
181,93.2060222671692
182,80.0939457090822
183,95.0766194950762
184,103.439523538765
185,103.738264733016
186,104.389616157669
187,120.95488512422
188,126.507872553974
189,132.749421279766
190,121.779368355628
191,128.096493049531
192,129.955502646079
193,142.285486856237
194,126.498999396737
195,132.579966197285
196,127.381585182571
197,107.512707807088
198,128.834056033239
199,117.961704762361
200,111.548994976366
201,109.96355479434
202,120.878219760013
203,98.2514887080151
204,101.639831823978
205,103.554158313503
206,128.566296365582
207,131.681128232349
208,131.916749196979
209,112.680407067516
210,94.1408023896712
211,86.5950151179083
212,96.9488814725411
213,106.665024895103
214,120.118538770334
215,122.407365448569
216,115.815624405747
217,112.298186670403
218,108.435296267209
219,130.967814812496
220,125.223071337161
221,115.93060710387
222,107.106880869683
223,93.8265560177755
224,102.792976167862
225,131.754095375087
226,136.438611445411
227,153.845194446403
228,145.063847406582
229,149.894377735878
230,146.739805562874
231,162.506098917768
232,149.473000642137
233,126.821743217942
234,140.642436505634
235,125.880457752224
236,115.788983220583
237,109.387531858473
238,115.316655970146
239,134.225697679113
240,145.025371782596
241,131.534355805551
242,113.55491691206
243,123.919513200266
244,137.317749449992
245,125.74593600842
246,136.278313768655
247,143.44415221533
248,138.966362150765
249,112.605589168991
250,114.293228132846
251,118.559417966421
252,125.245121458519
253,116.325883248368
254,117.766899702681
255,119.868766751486
256,122.883424131928
257,109.385069401908
258,102.95015439912
259,123.950511602161
260,131.08638584311
261,153.174347601559
262,155.166712562003
263,127.931386506922
264,118.710881287106
265,119.316329637044
266,127.763834531812
267,121.498164725112
268,122.986372288805
269,130.346940118324
270,138.504110291247
271,145.327566472212
272,118.340888106385
273,117.164673433683
274,111.613487187734
275,115.570318037171
276,104.195691243544
277,109.55350062215
278,113.954138891202
279,112.056865200978
280,102.699492987389
281,106.695134605464
282,101.125020495061
283,115.324377576122
284,112.033747732669
285,105.84401017263
286,95.5972837240711
287,100.643188982501
288,110.003465070777
289,108.417986404546
290,111.123094408703
291,116.758952192467
292,120.729900207288
293,131.53358600822
294,127.711581362897
295,103.901233636899
296,109.025872025385
297,115.375466255927
298,134.688880134556
299,130.999464159704
300,118.058469122253
